,epoch,nat_prec1,adv_prec1,nat_loss,adv_loss,train_prec1,train_loss,time,exp_id,source_eps,target_ds,num_training_images,unfrozen_blocks,seed,downscaled
19,100,89.37433624,-1,0.731799431,-1,98.25,0.076998201,707.9501302,1b9facf8-d147-4ca3-b54b-ee0931938b78,3,celeba,400,1,20100000,FALSE
20,100,91.24176025,-1,0.312198139,-1,99,0.042312489,777.7671027,c743ee3e-356a-431e-8323-32fffae2c103,3,celeba,400,3,20100000,FALSE
21,100,89.92298889,-1,0.365216904,-1,98,0.068537095,773.8647907,df2d1004-bc33-455e-bfa0-d7ca44b73eab,3,celeba,400,3,20100000,TRUE
22,100,88.95153046,-1,0.335157615,-1,95.25,0.125911104,787.9174728,9e98801c-cc23-42d9-affe-28fb9491d9ee,4,celeba,400,3,20100000,TRUE
23,100,87.25524902,-1,0.351434479,-1,93.25,0.167283745,524.8201571,a4bafe72-f13a-4430-ae46-c24b7843f19f,8,celeba,400,3,20100000,TRUE
24,100,92.46488953,-1,0.321143878,-1,94.375,0.149044089,843.2030544,194c04a9-2627-40d0-810b-7938e05c9841,0,celeba,800,1,20100000,FALSE
25,100,94.07559967,-1,0.468526279,-1,96.5,0.096530883,928.7006667,65b6d17a-70fb-4289-b576-a3160b76bc6e,0,celeba,800,3,20100000,FALSE
26,100,91.0504837,-1,0.335531439,-1,90.5,0.236799781,969.2851944,b49723af-0bfe-4734-96eb-2d256fa6774c,0,celeba,800,3,20100000,TRUE
27,100,91.4179306,-1,0.575297779,-1,98.5,0.052377216,846.2345541,000e08d8-ecb0-488f-ab6e-51610ef96d43,3,celeba,800,1,20100000,FALSE
28,100,92.50515747,-1,0.23721069,-1,99.25,0.039264744,901.05162,0644737f-ff84-4e6d-a3ec-22df4f4b10dd,3,celeba,800,3,20100000,FALSE
29,100,91.39276123,-1,0.243465065,-1,98.25,0.070188417,983.9848523,3dc072ff-3085-45fe-bb45-3228d1181c47,3,celeba,800,3,20100000,TRUE
30,100,91.09578705,-1,0.246730962,-1,97.125,0.087747707,918.027123,7794cc1a-b0ab-4c33-bbb4-3a2894873a46,4,celeba,800,3,20100000,TRUE
31,100,89.8474884,-1,0.266791643,-1,96.75,0.108438965,611.4805481,c89cbe4e-195a-4f57-9a8f-b89618f902aa,8,celeba,800,3,20100000,TRUE
32,100,93.46151733,-1,0.363437234,-1,94.9375,0.130197264,1099.375232,364e0117-ef49-436c-94cf-cef84d3808d1,0,celeba,1600,1,20100000,FALSE
