,Unnamed: 0,epoch,nat_prec1,adv_prec1,nat_loss,adv_loss,train_prec1,train_loss,time,exp_id,source_eps,target_ds,num_training_images,unfrozen_blocks,seed,downscaled
513,2,21,93.85916138,-1,0.164930731,-1,96.515625,0.088068513,711.5342362,2dcd7a8d-652b-43b3-82c6-b7e9edacfa46,3,celeba,6400,3,20100000,TRUE
514,3,31,94.57391357,-1,0.148690332,-1,97.015625,0.074435616,1042.161185,2dcd7a8d-652b-43b3-82c6-b7e9edacfa46,3,celeba,6400,3,20100000,TRUE
515,4,41,93.43132019,-1,0.216653445,-1,98.234375,0.046891178,1362.668711,2dcd7a8d-652b-43b3-82c6-b7e9edacfa46,3,celeba,6400,3,20100000,TRUE
516,5,51,95.35913849,-1,0.140605941,-1,98.984375,0.02877873,1676.773623,2dcd7a8d-652b-43b3-82c6-b7e9edacfa46,3,celeba,6400,3,20100000,TRUE
517,6,61,95.2735672,-1,0.150579176,-1,99.796875,0.010439231,1995.192148,2dcd7a8d-652b-43b3-82c6-b7e9edacfa46,3,celeba,6400,3,20100000,TRUE
518,7,71,95.10746765,-1,0.167904864,-1,99.78125,0.00856678,2313.428198,2dcd7a8d-652b-43b3-82c6-b7e9edacfa46,3,celeba,6400,3,20100000,TRUE
519,8,81,95.29370117,-1,0.17015332,-1,99.890625,0.005827291,2631.676579,2dcd7a8d-652b-43b3-82c6-b7e9edacfa46,3,celeba,6400,3,20100000,TRUE
520,9,91,95.35410309,-1,0.171051269,-1,99.921875,0.004760081,2950.102917,2dcd7a8d-652b-43b3-82c6-b7e9edacfa46,3,celeba,6400,3,20100000,TRUE
521,10,101,95.41954041,-1,0.17429177,-1,99.96875,0.003162732,3279.395553,2dcd7a8d-652b-43b3-82c6-b7e9edacfa46,3,celeba,6400,3,20100000,TRUE
522,11,111,95.39437103,-1,0.174867026,-1,99.953125,0.003724403,3622.023853,2dcd7a8d-652b-43b3-82c6-b7e9edacfa46,3,celeba,6400,3,20100000,TRUE
523,12,121,95.31383514,-1,0.177132814,-1,99.953125,0.003402592,3961.809616,2dcd7a8d-652b-43b3-82c6-b7e9edacfa46,3,celeba,6400,3,20100000,TRUE
524,13,131,95.45980835,-1,0.17461536,-1,99.96875,0.002565357,4289.347182,2dcd7a8d-652b-43b3-82c6-b7e9edacfa46,3,celeba,6400,3,20100000,TRUE
525,14,141,95.43463898,-1,0.175877792,-1,99.953125,0.003017064,4608.277736,2dcd7a8d-652b-43b3-82c6-b7e9edacfa46,3,celeba,6400,3,20100000,TRUE
526,15,150,95.34906769,-1,0.177973343,-1,99.9375,0.002828822,4909.513035,2dcd7a8d-652b-43b3-82c6-b7e9edacfa46,3,celeba,6400,3,20100000,TRUE
533,0,1,44.03785324,-1,216759.2193,-1,68,33.55815216,61.00851417,0644737f-ff84-4e6d-a3ec-22df4f4b10dd,3,celeba,800,3,20100000,FALSE
534,1,21,92.51019287,-1,0.198848646,-1,96.75,0.10866796,228.5908315,0644737f-ff84-4e6d-a3ec-22df4f4b10dd,3,celeba,800,3,20100000,FALSE
535,2,41,92.46992493,-1,0.238403238,-1,98.375,0.05433788,396.4922817,0644737f-ff84-4e6d-a3ec-22df4f4b10dd,3,celeba,800,3,20100000,FALSE
536,3,61,92.43469238,-1,0.235436869,-1,99.25,0.036448949,566.6958311,0644737f-ff84-4e6d-a3ec-22df4f4b10dd,3,celeba,800,3,20100000,FALSE
537,4,81,92.77193451,-1,0.222614876,-1,99.75,0.033025667,736.9951718,0644737f-ff84-4e6d-a3ec-22df4f4b10dd,3,celeba,800,3,20100000,FALSE
538,5,100,92.50515747,-1,0.23721069,-1,99.25,0.039264744,901.05162,0644737f-ff84-4e6d-a3ec-22df4f4b10dd,3,celeba,800,3,20100000,FALSE
539,0,1,64.1616745,-1,442391.31,-1,67,35.16687233,64.08790827,3dc072ff-3085-45fe-bb45-3228d1181c47,3,celeba,800,3,20100000,TRUE
540,1,21,90.38103485,-1,0.254845397,-1,94.75,0.154101953,246.2152174,3dc072ff-3085-45fe-bb45-3228d1181c47,3,celeba,800,3,20100000,TRUE
541,2,41,91.37262726,-1,0.243298719,-1,98,0.078419746,430.8489618,3dc072ff-3085-45fe-bb45-3228d1181c47,3,celeba,800,3,20100000,TRUE
542,3,61,91.36256409,-1,0.241378922,-1,98.5,0.0641519,613.3016646,3dc072ff-3085-45fe-bb45-3228d1181c47,3,celeba,800,3,20100000,TRUE
