,epoch,nat_prec1,adv_prec1,nat_loss,adv_loss,train_prec1,train_loss,time,exp_id,source_eps,target_ds,num_training_images,unfrozen_blocks,seed
4,41,83.97999572753910,-1.0,0.49122798414230300,-1.0,92.890625,0.21481109127402300,739.7055034637450,bc7d6035-e152-425f-941b-770bde5bdb42,0.0,cifar10,6400,3,20100000
5,51,87.1199951171875,-1.0,0.39899990997314500,-1.0,95.828125,0.14346799716353400,917.0197882652280,bc7d6035-e152-425f-941b-770bde5bdb42,0.0,cifar10,6400,3,20100000
6,61,87.13999938964840,-1.0,0.3932540755033490,-1.0,96.984375,0.11416029073298000,1097.017179965970,bc7d6035-e152-425f-941b-770bde5bdb42,0.0,cifar10,6400,3,20100000
7,71,87.04000091552730,-1.0,0.40795712304115300,-1.0,96.90625,0.1115977917611600,1272.6617949008900,bc7d6035-e152-425f-941b-770bde5bdb42,0.0,cifar10,6400,3,20100000
8,81,87.66999816894530,-1.0,0.3963535859107970,-1.0,96.984375,0.10309523865580600,1453.516273021700,bc7d6035-e152-425f-941b-770bde5bdb42,0.0,cifar10,6400,3,20100000
9,91,87.38999938964840,-1.0,0.4023377427607780,-1.0,97.625,0.09167852334678170,1625.416488647460,bc7d6035-e152-425f-941b-770bde5bdb42,0.0,cifar10,6400,3,20100000
10,101,87.50999450683590,-1.0,0.405888693857193,-1.0,98.109375,0.07929754175245760,1809.9868054390000,bc7d6035-e152-425f-941b-770bde5bdb42,0.0,cifar10,6400,3,20100000
11,111,87.50999450683590,-1.0,0.40564902868270900,-1.0,98.0625,0.07777177229523660,1991.9349455833400,bc7d6035-e152-425f-941b-770bde5bdb42,0.0,cifar10,6400,3,20100000
12,121,87.57999420166020,-1.0,0.4004004385948180,-1.0,98.375,0.07099503234028820,2170.910957813260,bc7d6035-e152-425f-941b-770bde5bdb42,0.0,cifar10,6400,3,20100000
13,131,87.5199966430664,-1.0,0.4030416749477390,-1.0,98.203125,0.0728258640319109,2349.7834017276800,bc7d6035-e152-425f-941b-770bde5bdb42,0.0,cifar10,6400,3,20100000
14,141,87.57999420166020,-1.0,0.40796776757240300,-1.0,98.296875,0.07407812424004080,2532.1820046901700,bc7d6035-e152-425f-941b-770bde5bdb42,0.0,cifar10,6400,3,20100000
15,150,87.6500015258789,-1.0,0.4074484402656560,-1.0,98.171875,0.07506110548973080,2697.71626663208,bc7d6035-e152-425f-941b-770bde5bdb42,0.0,cifar10,6400,3,20100000
0,1,85.0199966430664,-1.0,0.46416505908966100,-1.0,73.2265625,2.8916399449110000,58.00421977043150,d21070d0-a400-426f-af1a-ca683646836c,3.0,cifar10,12800,3,20100000
1,11,90.5,-1.0,0.29039931364059400,-1.0,96.3671875,0.11174204077571600,358.5921354293820,d21070d0-a400-426f-af1a-ca683646836c,3.0,cifar10,12800,3,20100000
2,21,89.61000061035160,-1.0,0.346740430521965,-1.0,97.7109375,0.07554184701293710,670.5711400508880,d21070d0-a400-426f-af1a-ca683646836c,3.0,cifar10,12800,3,20100000
3,31,89.63999938964840,-1.0,0.3682725572109220,-1.0,97.84375,0.07285187123343350,971.9173011779790,d21070d0-a400-426f-af1a-ca683646836c,3.0,cifar10,12800,3,20100000
4,41,89.0,-1.0,0.37568644123077400,-1.0,97.7578125,0.07131415214389560,1275.651484489440,d21070d0-a400-426f-af1a-ca683646836c,3.0,cifar10,12800,3,20100000
5,51,92.32999420166020,-1.0,0.24579679453596500,-1.0,99.078125,0.03761553180404010,1578.9064931869500,d21070d0-a400-426f-af1a-ca683646836c,3.0,cifar10,12800,3,20100000
6,61,92.94999694824220,-1.0,0.24591735582351700,-1.0,99.96875,0.006359845239203420,1879.6833307743100,d21070d0-a400-426f-af1a-ca683646836c,3.0,cifar10,12800,3,20100000
7,71,93.0999984741211,-1.0,0.24822157618999500,-1.0,99.9765625,0.003890587568748740,2175.2261292934400,d21070d0-a400-426f-af1a-ca683646836c,3.0,cifar10,12800,3,20100000
8,81,93.06999969482420,-1.0,0.2513507843494420,-1.0,99.9765625,0.003432210110477170,2446.395650625230,d21070d0-a400-426f-af1a-ca683646836c,3.0,cifar10,12800,3,20100000
9,91,93.12999725341800,-1.0,0.24720690317153900,-1.0,99.9921875,0.0028010591579368300,2730.3257415294600,d21070d0-a400-426f-af1a-ca683646836c,3.0,cifar10,12800,3,20100000
10,101,93.04000091552730,-1.0,0.24997025653123900,-1.0,99.9921875,0.0026063625258393600,3026.599883556370,d21070d0-a400-426f-af1a-ca683646836c,3.0,cifar10,12800,3,20100000
11,111,93.11000061035160,-1.0,0.24470141050815600,-1.0,100.0,0.0025137182709295300,3317.525055408480,d21070d0-a400-426f-af1a-ca683646836c,3.0,cifar10,12800,3,20100000
12,121,93.12999725341800,-1.0,0.24292208842635200,-1.0,100.0,0.0025442300582653800,3613.8533120155300,d21070d0-a400-426f-af1a-ca683646836c,3.0,cifar10,12800,3,20100000
13,131,93.15999603271480,-1.0,0.2407972092628480,-1.0,99.9921875,0.0024380187038332200,3902.023520231250,d21070d0-a400-426f-af1a-ca683646836c,3.0,cifar10,12800,3,20100000
14,141,93.12999725341800,-1.0,0.24117725581079700,-1.0,100.0,0.0023127350030699700,4197.961967945100,d21070d0-a400-426f-af1a-ca683646836c,3.0,cifar10,12800,3,20100000
15,150,93.11000061035160,-1.0,0.24315546880960500,-1.0,100.0,0.0023587245598901100,4458.107250213620,d21070d0-a400-426f-af1a-ca683646836c,3.0,cifar10,12800,3,20100000
0,1,14.670000076293900,-1.0,761.233943359375,-1.0,51.125,13.19793261051180,31.664729356765700,f011dbd2-8e5d-4ad6-8d00-af11ce871490,3.0,cifar10,1600,3,20100000
1,21,82.50999450683590,-1.0,0.6797912420272830,-1.0,99.5625,0.027826953306794200,191.02866172790500,f011dbd2-8e5d-4ad6-8d00-af11ce871490,3.0,cifar10,1600,3,20100000
2,41,83.36000061035160,-1.0,0.6785033140182500,-1.0,99.9375,0.012432970330119100,351.05294036865200,f011dbd2-8e5d-4ad6-8d00-af11ce871490,3.0,cifar10,1600,3,20100000
3,61,83.37999725341800,-1.0,0.6688566198349000,-1.0,100.0,0.008666753135621550,528.8538601398470,f011dbd2-8e5d-4ad6-8d00-af11ce871490,3.0,cifar10,1600,3,20100000
4,81,83.65999603271480,-1.0,0.6710523573875430,-1.0,99.875,0.01378113728016620,705.6322531700130,f011dbd2-8e5d-4ad6-8d00-af11ce871490,3.0,cifar10,1600,3,20100000
5,100,83.7699966430664,-1.0,0.6587420685052870,-1.0,100.0,0.008550186119973660,861.7366390228270,f011dbd2-8e5d-4ad6-8d00-af11ce871490,3.0,cifar10,1600,3,20100000
0,1,77.88999938964840,-1.0,0.8060374982833860,-1.0,67.296875,4.5099527502059900,36.95204472541810,8d667afe-d6df-4879-89ee-19fc2a88f761,3.0,cifar10,6400,3,20100000
1,11,87.68000030517580,-1.0,0.39560003509521500,-1.0,97.265625,0.09713400118052960,212.56419324874900,8d667afe-d6df-4879-89ee-19fc2a88f761,3.0,cifar10,6400,3,20100000
2,21,88.8499984741211,-1.0,0.3691429968237880,-1.0,98.875,0.05144276916980740,394.6170938014980,8d667afe-d6df-4879-89ee-19fc2a88f761,3.0,cifar10,6400,3,20100000
3,31,87.70999908447270,-1.0,0.42150158567428600,-1.0,99.078125,0.043872660212218800,570.3786611557010,8d667afe-d6df-4879-89ee-19fc2a88f761,3.0,cifar10,6400,3,20100000
